				node_types		node_column
				biolink:Gene		ENSG00000154917
				biolink:Protein		ENSP00000285208
				biolink:Gene		ENSG00000114331
				biolink:Protein		ENSP00000324287
				biolink:Gene		ENSG00000152684
				biolink:Protein		ENSP00000274311
				biolink:Gene		ENSG00000114790
				biolink:Protein		ENSP00000348828
				biolink:Gene		ENSG00000114854
				biolink:Protein		ENSP00000232975
				biolink:Gene		ENSG00000063245
				biolink:Protein		ENSP00000406209
				biolink:Gene		ENSG00000170027
				biolink:Protein		ENSP00000306330
				biolink:Gene		ENSG00000197948
				biolink:Protein		ENSP00000399259
				biolink:Gene		ENSG00000084731
				biolink:Protein		ENSP00000264712
				biolink:Gene		ENSG00000135333
				biolink:Protein		ENSP00000358309
				biolink:Gene		ENSG00000197256
				biolink:Protein		ENSP00000468002
				biolink:Gene		ENSG00000169221
				biolink:Protein		ENSP00000386538
				biolink:Gene		ENSG00000250021
				biolink:Protein		ENSP00000381377
				biolink:Protein		ENSP00000233616
				biolink:Gene		ENSG00000165300
				biolink:Protein		ENSP00000366283
				biolink:Gene		ENSG00000159202
				biolink:Protein		ENSP00000354201
				biolink:Protein		ENSP00000289153
				biolink:Gene		ENSG00000185344
				biolink:Protein		ENSP00000332247
				biolink:Gene		ENSG00000187510
				biolink:Protein		ENSP00000344961
				biolink:Gene		ENSG00000092108
				biolink:Protein		ENSP00000390783
				biolink:Gene		ENSG00000173801
				biolink:Protein		ENSP00000377508
				biolink:Gene		ENSG00000074935
				biolink:Protein		ENSP00000357651
				biolink:Gene		ENSG00000136044
				biolink:Protein		ENSP00000446917
				biolink:Gene		ENSG00000115970
				biolink:Protein		ENSP00000385995
				biolink:Gene		ENSG00000075826
				biolink:Protein		ENSP00000359370
				biolink:Gene		ENSG00000157927
				biolink:Protein		ENSP00000382492
				biolink:Gene		ENSG00000018510
				biolink:Protein		ENSP00000264167
				biolink:Gene		ENSG00000163513
				biolink:Protein		ENSP00000351905
				biolink:Protein		ENSP00000379712
				biolink:Gene		ENSG00000149806
				biolink:Protein		ENSP00000435370
				biolink:Gene		ENSG00000144635
				biolink:Protein		ENSP00000273130
				biolink:Gene		ENSG00000026103
				biolink:Protein		ENSP00000347979
				biolink:Gene		ENSG00000094804
				biolink:Protein		ENSP00000209728
				biolink:Gene		ENSG00000110955
				biolink:Protein		ENSP00000262030
				biolink:Gene		ENSG00000183317
				biolink:Protein		ENSP00000362139
				biolink:Gene		ENSG00000075945
				biolink:Protein		ENSP00000354560
				biolink:Gene		ENSG00000136848
				biolink:Protein		ENSP00000259371
				biolink:Gene		ENSG00000135409
				biolink:Protein		ENSP00000257863
				biolink:Gene		ENSG00000121879
				biolink:Protein		ENSP00000263967
				biolink:Gene		ENSG00000107758
				biolink:Protein		ENSP00000378306
				biolink:Gene		ENSG00000159840
				biolink:Protein		ENSP00000324422
				biolink:Gene		ENSG00000103184
				biolink:Protein		ENSP00000251170
				biolink:Gene		ENSG00000070886
				biolink:Protein		ENSP00000166244
				biolink:Gene		ENSG00000185651
				biolink:Protein		ENSP00000400906
				biolink:Protein		ENSP00000368464
				biolink:Gene		ENSG00000105397
				biolink:Protein		ENSP00000431885
				biolink:Gene		ENSG00000122218
				biolink:Protein		ENSP00000357048
				biolink:Protein		ENSP00000377664
				biolink:Gene		ENSG00000108587
				biolink:Protein		ENSP00000225724
				biolink:Gene		ENSG00000114349
				biolink:Protein		ENSP00000232461
				biolink:Protein		ENSP00000293970
				biolink:Gene		ENSG00000138031
				biolink:Protein		ENSP00000260600
				biolink:Gene		ENSG00000137831
				biolink:Protein		ENSP00000314556
				biolink:Gene		ENSG00000124201
				biolink:Protein		ENSP00000379412
				biolink:Gene		ENSG00000273749
				biolink:Protein		ENSP00000481038
				biolink:Gene		ENSG00000105976
				biolink:Protein		ENSP00000317272
				biolink:Gene		ENSG00000115239
				biolink:Protein		ENSP00000263634
				biolink:Gene		ENSG00000139835
				biolink:Protein		ENSP00000364579
				biolink:Gene		ENSG00000127334
				biolink:Protein		ENSP00000342105
				biolink:Protein		ENSP00000484912
				biolink:Gene		ENSG00000141314
				biolink:Protein		ENSP00000269051
				biolink:Protein		ENSP00000386857
				biolink:Gene		ENSG00000178184
				biolink:Protein		ENSP00000343144
				biolink:Gene		ENSG00000170832
				biolink:Protein		ENSP00000300896
				biolink:Gene		ENSG00000139908
				biolink:Protein		ENSP00000339179
				biolink:Gene		ENSG00000108946
				biolink:Protein		ENSP00000376475
				biolink:Gene		ENSG00000182511
				biolink:Protein		ENSP00000331504
				biolink:Gene		ENSG00000182541
				biolink:Protein		ENSP00000339916
				biolink:Gene		ENSG00000066279
				biolink:Protein		ENSP00000356379
				biolink:Gene		ENSG00000198483
				biolink:Protein		ENSP00000347802
				biolink:Gene		ENSG00000179387
				biolink:Protein		ENSP00000326342
				biolink:Gene		ENSG00000239264
				biolink:Protein		ENSP00000369081
				biolink:Gene		ENSG00000178363
				biolink:Protein		ENSP00000315299
				biolink:Gene		ENSG00000125508
				biolink:Protein		ENSP00000217188
				biolink:Gene		ENSG00000106799
				biolink:Protein		ENSP00000364133
				biolink:Gene		ENSG00000105738
				biolink:Protein		ENSP00000222345
				biolink:Gene		ENSG00000078967
				biolink:Protein		ENSP00000222402
				biolink:Gene		ENSG00000186635
				biolink:Protein		ENSP00000377233
				biolink:Gene		ENSG00000148634
				biolink:Protein		ENSP00000378624
				biolink:Gene		ENSG00000104825
				biolink:Protein		ENSP00000312988
				biolink:Gene		ENSG00000115956
				biolink:Protein		ENSP00000234313
				biolink:Protein		ENSP00000464342
				biolink:Gene		ENSG00000157106
				biolink:Protein		ENSP00000402515
				biolink:Protein		ENSP00000268035
				biolink:Gene		ENSG00000177105
				biolink:Protein		ENSP00000339467
				biolink:Gene		ENSG00000152086
				biolink:Protein		ENSP00000318197
				biolink:Gene		ENSG00000125637
				biolink:Protein		ENSP00000245796
				biolink:Gene		ENSG00000142149
				biolink:Protein		ENSP00000270112
				biolink:Gene		ENSG00000048140
				biolink:Protein		ENSP00000309036
				biolink:Gene		ENSG00000106636
				biolink:Protein		ENSP00000223369
				biolink:Gene		ENSG00000077721
				biolink:Protein		ENSP00000360613
				biolink:Gene		ENSG00000146904
				biolink:Protein		ENSP00000275815
				biolink:Gene		ENSG00000184545
				biolink:Protein		ENSP00000380530
				biolink:Gene		ENSG00000167103
				biolink:Protein		ENSP00000373399
				biolink:Gene		ENSG00000175931
				biolink:Protein		ENSP00000323687
				biolink:Gene		ENSG00000134001
				biolink:Protein		ENSP00000256383
				biolink:Gene		ENSG00000072958
				biolink:Protein		ENSP00000388996
				biolink:Gene		ENSG00000129083
				biolink:Protein		ENSP00000249923
				biolink:Gene		ENSG00000110031
				biolink:Protein		ENSP00000431284
				biolink:Gene		ENSG00000144711
				biolink:Protein		ENSP00000480301
